nohup: ignoring input
Files already downloaded and verified
Files already downloaded and verified
12:32:58 train - loss: 0.1864, acc: 0.9359
Epoch 70, lr 0.302777
12:34:10 train - loss: 0.1858, acc: 0.9366
12:34:15 valid - loss: 0.6860, acc: 0.8049
Epoch 71, lr 0.300000
12:35:27 train - loss: 0.1760, acc: 0.9400
Epoch 72, lr 0.297197
12:36:39 train - loss: 0.1801, acc: 0.9389
Epoch 73, lr 0.294368
12:37:52 train - loss: 0.1769, acc: 0.9396
Epoch 74, lr 0.291515
12:39:03 train - loss: 0.1811, acc: 0.9380
Epoch 75, lr 0.288638
12:40:16 train - loss: 0.1694, acc: 0.9424
12:40:21 valid - loss: 0.6870, acc: 0.8164
Epoch 76, lr 0.285739
12:41:33 train - loss: 0.1778, acc: 0.9394
Epoch 77, lr 0.282816
12:42:45 train - loss: 0.1720, acc: 0.9407
Epoch 78, lr 0.279873
12:43:58 train - loss: 0.1762, acc: 0.9393
Epoch 79, lr 0.276909
12:45:10 train - loss: 0.1683, acc: 0.9425
Epoch 80, lr 0.273924
12:46:22 train - loss: 0.1667, acc: 0.9425
12:46:27 valid - loss: 0.5570, acc: 0.8420
Epoch 81, lr 0.270921
12:47:40 train - loss: 0.1658, acc: 0.9434
Epoch 82, lr 0.267899
12:48:52 train - loss: 0.1628, acc: 0.9444
Epoch 83, lr 0.264860
12:50:04 train - loss: 0.1663, acc: 0.9429
Epoch 84, lr 0.261803
12:51:16 train - loss: 0.1597, acc: 0.9466
Epoch 85, lr 0.258731
12:52:28 train - loss: 0.1573, acc: 0.9449
12:52:34 valid - loss: 0.4624, acc: 0.8641
Epoch 86, lr 0.255643
12:53:46 train - loss: 0.1537, acc: 0.9470
Epoch 87, lr 0.252541
12:54:58 train - loss: 0.1578, acc: 0.9454
Epoch 88, lr 0.249426
12:56:10 train - loss: 0.1496, acc: 0.9496
Epoch 89, lr 0.246297
12:57:23 train - loss: 0.1474, acc: 0.9492
Epoch 90, lr 0.243157
12:58:35 train - loss: 0.1495, acc: 0.9487
12:58:40 valid - loss: 0.5357, acc: 0.8450
Epoch 91, lr 0.240005
12:59:53 train - loss: 0.1525, acc: 0.9475
Epoch 92, lr 0.236843
13:01:05 train - loss: 0.1461, acc: 0.9511
Epoch 93, lr 0.233671
13:02:17 train - loss: 0.1484, acc: 0.9491
Epoch 94, lr 0.230491
13:03:29 train - loss: 0.1432, acc: 0.9507
Epoch 95, lr 0.227303
13:04:41 train - loss: 0.1420, acc: 0.9520
13:04:47 valid - loss: 0.4584, acc: 0.8655
